,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
12,RENAULT GRAND SCENIC IV,RENAULT,1.7 DCI 150 INTENS,2021,69 794 km,Manuelle,Diesel,21 580 €
13,RENAULT CAPTUR II,RENAULT,1.5 DCI 115 BUSINESS,2021,44 748 km,Automatique,Diesel,21 350 €
14,RENAULT CLIO V,RENAULT,1.0 TCE 91 INTENS,2023,29 556 km,Manuelle,Essence,21 870 €
15,RENAULT ARKANA,RENAULT,TECHNO 1.6 E-TECH 145CH AUTOMATIQUE,2024,13 km,Automatique,Hybrides,41 210 €
16,RENAULT MASTER III,RENAULT,2.3 DCI 170 GRAND CONFORT,2020,92 437 km,Manuelle,Diesel,24 300 €
0,RENAULT CLIO IV phase 2,RENAULT,1.5 DCI 75 BUSINESS,2019,117 834 km,Manuelle,Diesel,12 900 €
1,RENAULT MEGANE 4,RENAULT,INTENS 1.3 TCE FAP 140CH MANUELLE,2020,49 428 km,Manuelle,Essence,19 560 €
2,RENAULT MEGANE IV,RENAULT,1.5 DCI 115 BUSINESS,2020,71 379 km,Automatique,Diesel,16 680 €
3,RENAULT CLIO IV phase 2,RENAULT,0.9 TCE 90 GENERATION,2021,60 111 km,Manuelle,Essence,11 550 €
4,RENAULT CLIO IV phase 2,RENAULT,1.5 DCI 90 INTENS,2019,185 750 km,Manuelle,Diesel,13 730 €
5,RENAULT CLIO V,RENAULT,1.0 TCE 91 EQUILIBRE,2024,11 km,Manuelle,Essence,19 780 €
6,RENAULT CLIO V,RENAULT,1.3 TCE 130 INTENS,2020,28 832 km,Automatique,Essence,18 530 €
7,RENAULT CLIO V,RENAULT,1.6 E-TECH 140 BUSINESS,2022,35 277 km,Automatique,Hybrides,18 250 €
8,RENAULT KADJAR,RENAULT,1.5 DCI 110 BUSINESS,2017,126 255 km,Manuelle,Diesel,17 680 €
9,RENAULT CLIO 5,RENAULT,ZEN 1.0 TCE 100CH MANUELLE,2021,33 205 km,Manuelle,Essence,15 710 €
10,RENAULT MASTER III phase 2,RENAULT,2.3 DCI 150 GRAND CONFORT,2024,1 km,Manuelle,Diesel,39 890 €
11,RENAULT ARKANA,RENAULT,RS LINE TCE 140 MILD-HYBRID EDCPACK PERSONNALISATION + OPTIONS,2023,17 km,Automatique,Essence,36 600 €
12,RENAULT MASTER III phase 2,RENAULT,2.3 DCI 150 GRAND CONFORT,2024,1 km,Manuelle,Diesel,42 450 €
13,RENAULT CAPTUR 2,RENAULT,TECHNO 1.0 TCE 90CH MANUELLE,2024,12 km,Manuelle,Essence,28 520 €
14,RENAULT SCENIC IV,RENAULT,1.7 DCI 120 BUSINESS,2022,110 108 km,Automatique,Diesel,18 320 €
15,RENAULT KANGOO III,RENAULT,1.5 DCI 95 ZEN,2023,26 555 km,Manuelle,Diesel,22 590 €
16,RENAULT MEGANE IV ESTATE phase 2,RENAULT,1.3 TCE 140 BUSINESS,2021,104 563 km,Automatique,Essence,17 580 €
0,RENAULT CLIO 4,RENAULT,IV 0.9 TCE 90CH ENERGY ZEN 5P,2019,63 840 km,Manuelle,Essence,14 420 €
1,RENAULT MEGANE IV ESTATE,RENAULT,1.5 DCI 110 BUSINESS,2018,155 776 km,Manuelle,Diesel,12 820 €
2,RENAULT ZOE SOCIETE,RENAULT,SOCIETE R90,2021,4 112 km,Automatique,Électrique,15 560 €
3,RENAULT SCENIC IV,RENAULT,1.5 DCI 110 ZEN,2018,131 018 km,Manuelle,Diesel,17 980 €
4,RENAULT CLIO V,RENAULT,1.5 DCI 85 BUSINESS,2020,54 035 km,Manuelle,Diesel,14 390 €
5,RENAULT TRAFIC III phase 2,RENAULT,2.0 DCI 130 GRAND CONFORT,2024,1 km,Manuelle,Diesel,34 880 €
6,RENAULT MEGANE IV,RENAULT,1.3 TCE 115 BUSINESS,2020,65 888 km,Manuelle,Essence,15 730 €
7,RENAULT TWINGO III,RENAULT,1.0 SCE 70 ZEN,2019,28 016 km,Manuelle,Essence,11 050 €
8,RENAULT KADJAR phase 2,RENAULT,1.3 TCE 140 INTENS,2022,73 127 km,Automatique,Essence,20 370 €
9,RENAULT KANGOO II EXPRESS phase 2,RENAULT,1.5 DCI 90 SERIE SPECIALE EXTRA RLINK,2020,121 568 km,Manuelle,Diesel,12 530 €
10,RENAULT CLIO 4,RENAULT,IV 0.9 TCE 90CH ENERGY ZEN 5P,2019,100 118 km,Manuelle,Essence,12 190 €
11,RENAULT ZOE,RENAULT,52KWH R110 LIFE,2021,19 233 km,Automatique,Électrique,14 960 €
12,RENAULT CAPTUR phase 2,RENAULT,1.3 TCE 130 INTENS,2020,60 435 km,Manuelle,Essence,21 230 €
13,RENAULT CLIO 5,RENAULT,EQUILIBRE 1.0 TCE 90CH MANUELLE,2024,11 km,Manuelle,Essence,20 790 €
14,RENAULT CAPTUR II,RENAULT,1.6 E-TECH 145 INTENS,2022,12 km,Automatique,Hybrides,34 060 €
15,RENAULT KADJAR,RENAULT,1.2 TCE 130 INTENS,2017,74 877 km,Manuelle,Essence,17 230 €
16,RENAULT CAPTUR phase 2,RENAULT,1.3 TCE 150 INITIALE PARIS,2019,23 195 km,Automatique,Essence,18 880 €
0,RENAULT CLIO V,RENAULT,1.6 E-TECH 140 INTENS,2022,35 595 km,Automatique,Hybrides,22 580 €
1,RENAULT TRAFIC III phase 2,RENAULT,2.0 DCI 150 GRAND CONFORT,2023,223 km,Manuelle,Diesel,40 410 €
2,RENAULT CAPTUR 2,RENAULT,TECHNO 1.0 TCE 90CH MANUELLE,2024,11 km,Manuelle,Essence,26 150 €
3,RENAULT ARKANA,RENAULT,INTENS 1.3 TCE MICROHYBRIDE 140CH AUTOMATIQUE,2023,14 324 km,Automatique,Hybrides,30 200 €
4,RENAULT CLIO 5,RENAULT,INTENS 1.0 TCE 90CH MANUELLE,2023,140 km,Manuelle,Essence,22 000 €
5,RENAULT CAPTUR 2,RENAULT,EQUILIBRE 1.0 TCE 90CH MANUELLE,2024,11 km,Manuelle,Essence,23 720 €
6,RENAULT MEGANE III,RENAULT,1.6 110 CARMINAT,2012,118 000 km,Manuelle,Essence,9 970 €
7,RENAULT ZOE,RENAULT,52KWH R110 LIFE,2021,27 297 km,Automatique,Électrique,16 850 €
8,RENAULT GRAND SCENIC III,RENAULT,2.0 140 PRIVILEGE,2011,142 600 km,Automatique,Essence,13 010 €
9,RENAULT ARKANA,RENAULT,1.3 TCE 140 ZEN,2022,37 876 km,Automatique,Essence,28 730 €
10,RENAULT CLIO IV phase 2,RENAULT,1.2 TCE 120 INTENS,2018,41 250 km,Manuelle,Essence,16 120 €
11,RENAULT CAPTUR 2,RENAULT,EVOLUTION 1.0 TCE 90CH MANUELLE,2024,11 km,Manuelle,Essence,24 820 €
12,RENAULT MEGANE IV,RENAULT,1.5 DCI 115 INTENS,2020,63 864 km,Automatique,Diesel,18 620 €
13,RENAULT KADJAR phase 2,RENAULT,1.5 DCI 115 BUSINESS,2021,85 154 km,Manuelle,Diesel,15 790 €
14,RENAULT MEGANE V,RENAULT,220ch 60kWh TECHNO,2023,6 923 km,Automatique,Électrique,48 120 €
15,RENAULT CLIO V,RENAULT,1.0 TCE 90 ZEN,2022,13 924 km,Manuelle,Essence,20 440 €
16,RENAULT TWINGO III,RENAULT,1.0 SCE 70 ZEN,2016,30 839 km,Manuelle,Essence,10 850 €
0,RENAULT CLIO 4,RENAULT,IV 0.9 TCE 90CH ENERGY ZEN 5P,2019,100 118 km,Manuelle,Essence,12 190 €
1,RENAULT AUSTRAL,RENAULT,1.2 E-TECH 200 TECHNO,2024,11 km,Automatique,Hybrides,44 600 €
2,RENAULT MASTER III phase 2,RENAULT,2.3 DCI 150 GRAND CONFORT,2024,1 km,Manuelle,Diesel,43 550 €
3,RENAULT MEGANE IV phase 2,RENAULT,1.5 DCI 115 BUSINESS,2022,95 659 km,Manuelle,Diesel,15 560 €
4,RENAULT GRAND SCENIC IV,RENAULT,1.3 TCE 140 INTENS,2020,53 788 km,Manuelle,Essence,24 970 €
5,RENAULT KADJAR,RENAULT,1.6 DCI 130 INTENS,2016,123 210 km,Manuelle,Diesel,15 460 €
6,RENAULT CLIO V,RENAULT,1.6 E-TECH 140 ZEN,2022,47 455 km,Automatique,Hybrides,21 040 €
7,RENAULT CLIO IV phase 2,RENAULT,0.9 TCE 90 BUSINESS,2019,18 232 km,Manuelle,Essence,15 100 €
8,RENAULT CAPTUR II,RENAULT,1.3 HYBRID 160 TECHNO,2023,41 690 km,Automatique,Essence,24 040 €
9,RENAULT CAPTUR phase 2,RENAULT,1.5 DCI 90 INTENS,2020,66 269 km,Manuelle,Diesel,16 820 €
10,RENAULT MEGANE V,RENAULT,220ch 60kWh EQUILIBRE,2023,21 091 km,Automatique,Électrique,41 800 €
11,RENAULT CAPTUR phase 2,RENAULT,1.3 TCE 130 INTENS,2020,108 063 km,Manuelle,Essence,17 480 €
12,RENAULT SCENIC IV,RENAULT,1.7 DCI 120 BUSINESS,2021,133 104 km,Automatique,Diesel,21 220 €
13,RENAULT TWINGO III phase 2,RENAULT,1.0 SCE 75 ZEN,2021,37 733 km,Manuelle,Essence,12 200 €
14,RENAULT MEGANE IV phase 2,RENAULT,1.3 TCE 140 R.S. LINE,2023,31 880 km,Automatique,Essence,26 890 €
15,RENAULT CLIO V,RENAULT,1.0 TCE 91 EQUILIBRE,2024,12 km,Manuelle,Essence,21 440 €
16,RENAULT CLIO V,RENAULT,1.0 TCE 91 EQUILIBRE,2023,11 km,Manuelle,Essence,19 960 €
0,RENAULT CLIO IV phase 2,RENAULT,1.5 DCI 75 BUSINESS,2019,117 834 km,Manuelle,Diesel,12 900 €
1,RENAULT MEGANE IV,RENAULT,1.3 TCE 140 INTENS,2021,66 077 km,Manuelle,Essence,19 080 €
2,RENAULT TRAFIC III,RENAULT,1.6 DCI 145 CONFORT,2019,92 248 km,Manuelle,Diesel,36 170 €
3,RENAULT KADJAR,RENAULT,1.2 TCE 130 ZEN,2017,108 619 km,Manuelle,Essence,13 030 €
4,RENAULT SCENIC IV,RENAULT,1.3 TCE 140 SL LIMITED,2020,50 360 km,Automatique,Essence,21 780 €
5,RENAULT MEGANE IV ESTATE,RENAULT,1.5 DCI 110 BUSINESS,2019,92 187 km,Manuelle,Diesel,14 060 €
6,RENAULT CLIO V,RENAULT,1.0 SCE 65 BUSINESS,2022,71 665 km,Manuelle,Essence,13 560 €
7,RENAULT CAPTUR phase 2,RENAULT,1.5 DCI 90 ZEN,2020,100 694 km,Manuelle,Diesel,15 860 €
8,RENAULT MEGANE III ESTATE phase 3,RENAULT,1.5 DCI 110 BUSINESS,2017,75 603 km,Manuelle,Diesel,13 780 €
9,RENAULT SCENIC III phase 3,RENAULT,1.2 TCE 115 LIMITED,2014,40 121 km,Manuelle,Essence,12 940 €
10,RENAULT SCENIC III phase 3,RENAULT,1.2 TCE 130 BOSE EDITION,2017,85 936 km,Manuelle,Essence,14 680 €
11,RENAULT ARKANA,RENAULT,1.3 TCE 140 INTENS,2022,64 660 km,Automatique,Essence,29 810 €
12,RENAULT MEGANE IV ESTATE,RENAULT,1.5 DCI 90 BUSINESS,2020,136 721 km,Manuelle,Diesel,12 080 €
13,RENAULT KADJAR,RENAULT,1.2 TCE 130 ZEN,2016,81 360 km,Manuelle,Essence,15 350 €
14,RENAULT TWINGO III phase 2,RENAULT,1.0 SCE 75 ZEN,2021,29 639 km,Manuelle,Essence,11 880 €
15,RENAULT SCENIC IV,RENAULT,1.7 DCI 120 INTENS,2020,112 749 km,Manuelle,Diesel,17 530 €
16,RENAULT MEGANE IV,RENAULT,1.5 DCI 115 BUSINESS,2021,63 037 km,Manuelle,Diesel,14 190 €
0,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115 LOUNGE,2019,26 773 km,Manuelle,Essence,21 710 €
1,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.6 TDI 80 TRENDLINE,2020,55 387 km,Manuelle,Diesel,16 390 €
2,VOLKSWAGEN COCCINELLE CABRIOLET phase 2,VOLKSWAGEN,1.4 TSI 150 DUNE,2017,43 191 km,Manuelle,Essence,36 880 €
3,VOLKSWAGEN GOLF 8,VOLKSWAGEN,LIFE 1.5 ETSI 150CH AUTOMATIQUE,2022,30 786 km,Automatique,Hybrides,29 660 €
4,VOLKSWAGEN POLO 6,VOLKSWAGEN,1.0 80CH TRENDLINE BUSINESS EURO6D-T,2020,109 755 km,Manuelle,Essence,17 080 €
5,VOLKSWAGEN GOLF 7,VOLKSWAGEN,VII (2) 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE DSG7 5P,2020,44 691 km,Automatique,Diesel,24 130 €
6,VOLKSWAGEN GOLF SPORTSVAN,VOLKSWAGEN,1.4 TSI 125 SOUND,2018,95 760 km,Manuelle,Essence,17 800 €
7,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.0 TSI 95 UNITED,2021,14 157 km,Automatique,Essence,20 930 €
8,VOLKSWAGEN T-ROC phase 2,VOLKSWAGEN,1.5 TSI 150 STYLE,2023,24 108 km,Automatique,Essence,39 220 €
9,VOLKSWAGEN GOLF VII,VOLKSWAGEN,1.4 TSI 204 GTE,2017,107 300 km,Automatique,Hybrides,23 180 €
10,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.5 TSI 150 R-LINE,2022,72 416 km,Automatique,Essence,35 690 €
11,VOLKSWAGEN PASSAT 8 SW,VOLKSWAGEN,VIII SW 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE,2020,17 252 km,Manuelle,Diesel,29 290 €
12,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2020,73 656 km,Manuelle,Diesel,29 140 €
13,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 STYLE,2024,20 350 km,Automatique,Essence,26 290 €
14,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.0 TSI 110 R-LINE TECH,2023,18 513 km,Automatique,Essence,30 220 €
15,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.0 ETSI 110 LIFE PLUS,2024,6 840 km,Automatique,Essence,33 570 €
16,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.5 ETSI 150 LIFE 1ST,2021,36 942 km,Automatique,Essence,28 030 €
0,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115 LOUNGE,2019,26 773 km,Manuelle,Essence,21 710 €
1,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.6 TDI 80 TRENDLINE,2020,55 387 km,Manuelle,Diesel,16 390 €
2,VOLKSWAGEN COCCINELLE CABRIOLET phase 2,VOLKSWAGEN,1.4 TSI 150 DUNE,2017,43 191 km,Manuelle,Essence,36 880 €
3,VOLKSWAGEN GOLF 8,VOLKSWAGEN,LIFE 1.5 ETSI 150CH AUTOMATIQUE,2022,30 786 km,Automatique,Hybrides,29 660 €
4,VOLKSWAGEN POLO 6,VOLKSWAGEN,1.0 80CH TRENDLINE BUSINESS EURO6D-T,2020,109 755 km,Manuelle,Essence,17 080 €
5,VOLKSWAGEN GOLF 7,VOLKSWAGEN,VII (2) 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE DSG7 5P,2020,44 691 km,Automatique,Diesel,24 130 €
6,VOLKSWAGEN GOLF SPORTSVAN,VOLKSWAGEN,1.4 TSI 125 SOUND,2018,95 760 km,Manuelle,Essence,17 800 €
7,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.0 TSI 95 UNITED,2021,14 157 km,Automatique,Essence,20 930 €
8,VOLKSWAGEN T-ROC phase 2,VOLKSWAGEN,1.5 TSI 150 STYLE,2023,24 108 km,Automatique,Essence,39 220 €
9,VOLKSWAGEN GOLF VII,VOLKSWAGEN,1.4 TSI 204 GTE,2017,107 300 km,Automatique,Hybrides,23 180 €
10,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.5 TSI 150 R-LINE,2022,72 416 km,Automatique,Essence,35 690 €
11,VOLKSWAGEN PASSAT 8 SW,VOLKSWAGEN,VIII SW 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE,2020,17 252 km,Manuelle,Diesel,29 290 €
12,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2020,73 656 km,Manuelle,Diesel,29 140 €
13,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 STYLE,2024,20 350 km,Automatique,Essence,26 290 €
14,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.0 TSI 110 R-LINE TECH,2023,18 513 km,Automatique,Essence,30 220 €
15,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.0 ETSI 110 LIFE PLUS,2024,6 840 km,Automatique,Essence,33 570 €
16,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.5 ETSI 150 LIFE 1ST,2021,36 942 km,Automatique,Essence,28 030 €
0,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115 LOUNGE,2019,26 773 km,Manuelle,Essence,21 710 €
1,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.6 TDI 80 TRENDLINE,2020,55 387 km,Manuelle,Diesel,16 390 €
2,VOLKSWAGEN COCCINELLE CABRIOLET phase 2,VOLKSWAGEN,1.4 TSI 150 DUNE,2017,43 191 km,Manuelle,Essence,36 880 €
3,VOLKSWAGEN GOLF 8,VOLKSWAGEN,LIFE 1.5 ETSI 150CH AUTOMATIQUE,2022,30 786 km,Automatique,Hybrides,29 660 €
4,VOLKSWAGEN POLO 6,VOLKSWAGEN,1.0 80CH TRENDLINE BUSINESS EURO6D-T,2020,109 755 km,Manuelle,Essence,17 080 €
5,VOLKSWAGEN GOLF 7,VOLKSWAGEN,VII (2) 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE DSG7 5P,2020,44 691 km,Automatique,Diesel,24 130 €
6,VOLKSWAGEN GOLF SPORTSVAN,VOLKSWAGEN,1.4 TSI 125 SOUND,2018,95 760 km,Manuelle,Essence,17 800 €
7,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.0 TSI 95 UNITED,2021,14 157 km,Automatique,Essence,20 930 €
8,VOLKSWAGEN T-ROC phase 2,VOLKSWAGEN,1.5 TSI 150 STYLE,2023,24 108 km,Automatique,Essence,39 220 €
9,VOLKSWAGEN GOLF VII,VOLKSWAGEN,1.4 TSI 204 GTE,2017,107 300 km,Automatique,Hybrides,23 180 €
10,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.5 TSI 150 R-LINE,2022,72 416 km,Automatique,Essence,35 690 €
11,VOLKSWAGEN PASSAT 8 SW,VOLKSWAGEN,VIII SW 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE,2020,17 252 km,Manuelle,Diesel,29 290 €
12,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2020,73 656 km,Manuelle,Diesel,29 140 €
13,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 STYLE,2024,20 350 km,Automatique,Essence,26 290 €
14,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.0 TSI 110 R-LINE TECH,2023,18 513 km,Automatique,Essence,30 220 €
15,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.0 ETSI 110 LIFE PLUS,2024,6 840 km,Automatique,Essence,33 570 €
16,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.5 ETSI 150 LIFE 1ST,2021,36 942 km,Automatique,Essence,28 030 €
0,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.4 HYBRID 204 STYLE,2022,10 355 km,Automatique,Hybrides,36 890 €
1,VOLKSWAGEN ARTEON,VOLKSWAGEN,2.0 TDI 150 7CV DSG7,2020,31 498 km,Automatique,Diesel,32 820 €
2,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,2.0 TDI 115 LIFE 1ST,2022,72 151 km,Manuelle,Diesel,27 940 €
3,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115CH LOUNGE BUSINESS EURO6D-T,2020,69 266 km,Manuelle,Essence,22 940 €
4,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.5 TSI 130 STYLE,2022,61 288 km,Manuelle,Essence,27 170 €
5,VOLKSWAGEN POLO VI,VOLKSWAGEN,1.0 TSI 95,2021,72 290 km,Manuelle,Essence,19 340 €
6,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.0 TSI 110 LIFE BUSINESS 1ST,2022,32 911 km,Manuelle,Essence,27 470 €
7,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 R-LINE,2024,19 625 km,Manuelle,Essence,28 720 €
8,VOLKSWAGEN SCIROCCO II,VOLKSWAGEN,1.4 TSI 122,2010,101 700 km,Manuelle,Essence,13 550 €
9,VOLKSWAGEN TAIGO,VOLKSWAGEN,1.0 TSI 110 R-LINE,2023,35 768 km,Automatique,Essence,28 780 €
10,VOLKSWAGEN T-ROC,VOLKSWAGEN,2.0 TDI 150 CARAT,2021,28 853 km,Manuelle,Diesel,32 160 €
11,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 STYLE,2023,21 402 km,Automatique,Essence,27 030 €
12,VOLKSWAGEN CADDY IV FOURGON,VOLKSWAGEN,2.0 TDI 102 BUSINESS LINE PLUS,2022,45 951 km,Manuelle,Diesel,24 060 €
13,VOLKSWAGEN GOLF 8 SW,VOLKSWAGEN,SW LIFE PLUS 1.0 ETSI 110CH AUTOMATIQUE,2024,11 km,Automatique,Hybrides,32 060 €
14,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 MATCH,2020,61 568 km,Automatique,Diesel,32 680 €
15,VOLKSWAGEN ARTEON SHOOTING BRAKE phase 2,VOLKSWAGEN,2.0 TDI 150,2022,69 590 km,Automatique,Diesel,34 180 €
16,VOLKSWAGEN GOLF VII GTI phase 2,VOLKSWAGEN,2.0 TSI 245 GTI PERFORMANCE,2019,57 376 km,Automatique,Essence,32 170 €
0,VOLKSWAGEN TIGUAN 2,VOLKSWAGEN,2.0 TDI 150CH BLUEMOTION TECHNOLOGY CONFORTLINE,2017,126 345 km,Manuelle,Diesel,25 900 €
1,VOLKSWAGEN T-ROC,VOLKSWAGEN,STYLE 1.5 TSI 150CH AUTOMATIQUE,2024,13 km,Automatique,Essence,43 080 €
2,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.6 TDI 95 LOUNGE BUSINESS,2021,96 163 km,Manuelle,Diesel,22 400 €
3,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.5 TSI 150 CARAT,2021,58 796 km,Automatique,Essence,27 730 €
4,VOLKSWAGEN PASSAT 8 SW,VOLKSWAGEN,BV6 VIII 2.0 TDI 150 BLUEMOTION TECHNOLOGY CONFORTLINE,2020,77 627 km,Manuelle,Diesel,26 620 €
5,VOLKSWAGEN GOLF VII phase 2,VOLKSWAGEN,1.5 TSI 150 CARAT,2019,55 065 km,Automatique,Essence,26 820 €
6,VOLKSWAGEN GOLF VII,VOLKSWAGEN,1.6 TDI 105 CONFORTLINE,2016,127 800 km,Manuelle,Diesel,15 580 €
7,VOLKSWAGEN T-ROC,VOLKSWAGEN,2.0 TDI 115 LOUNGE,2022,29 415 km,Manuelle,Diesel,29 500 €
8,VOLKSWAGEN PASSAT VIII phase 2,VOLKSWAGEN,1.4 TSI 218 GTE,2022,35 425 km,Automatique,Hybrides,32 680 €
9,VOLKSWAGEN T-CROSS,VOLKSWAGEN,BVM6 1.0 TSI 110 START/STOP LOUNGE,2023,33 585 km,Manuelle,Essence,24 060 €
10,VOLKSWAGEN TIGUAN 2 ALLSPACE,VOLKSWAGEN,2.0 TDI 150 CARAT,2020,61 232 km,Manuelle,Diesel,40 180 €
11,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2019,67 125 km,Automatique,Diesel,35 940 €
12,VOLKSWAGEN GOLF VIII,VOLKSWAGEN,1.4 E-HYBRID 245 GTE,2021,30 989 km,Automatique,Hybrides,29 950 €
13,VOLKSWAGEN GOLF VII SW phase 2,VOLKSWAGEN,2.0 TDI 150 CONFORTLINE,2021,76 616 km,Automatique,Diesel,27 880 €
14,VOLKSWAGEN GOLF 7,VOLKSWAGEN,CONFORTLINE 1.4 TSI BMT 125CH MANUELLE,2019,83 052 km,Manuelle,Essence,20 190 €
15,VOLKSWAGEN TIGUAN II phase 2,VOLKSWAGEN,1.4 E-HYBRID 245 ELEGANCE,2022,41 715 km,Automatique,Hybrides,44 510 €
16,VOLKSWAGEN GOLF CABRIOLET,VOLKSWAGEN,1.8 CABRIOLET 112 KARMAN WOLFSBURG EDITION,1993,118 000 km,Manuelle,Essence,20 040 €
0,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115CH EURO6D-T,2020,100 043 km,Manuelle,Essence,20 150 €
1,VOLKSWAGEN TOURAN III,VOLKSWAGEN,2.0 TDI 150 UNITED,2021,74 568 km,Automatique,Diesel,34 200 €
2,VOLKSWAGEN TOUAREG II phase 2,VOLKSWAGEN,3.0 V6 262 R-LINE BLUEMOTION,2016,104 119 km,Automatique,Diesel,31 270 €
3,VOLKSWAGEN POLO VI phase 2,VOLKSWAGEN,1.0 TSI 95 STYLE,2023,22 082 km,Manuelle,Essence,25 480 €
4,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.0 TSI 115 STYLE,2024,15 795 km,Automatique,Essence,29 810 €
5,VOLKSWAGEN POLO VI GTI,VOLKSWAGEN,2.0 TSI 200 GTI,2019,53 788 km,Automatique,Essence,27 350 €
6,VOLKSWAGEN T-CROSS,VOLKSWAGEN,1.6 TDI 95 R-LINE,2020,93 737 km,Automatique,Diesel,20 890 €
7,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2018,40 277 km,Automatique,Diesel,30 920 €
8,VOLKSWAGEN TIGUAN 2,VOLKSWAGEN,LIFE PLUS 1.5 TSI 150CH AUTOMATIQUE,2024,11 km,Automatique,Essence,41 890 €
9,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT EXCLUSIVE,2019,105 078 km,Automatique,Diesel,31 010 €
10,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,1.4 TSI 150 CARAT,2018,59 834 km,Automatique,Essence,31 030 €
11,VOLKSWAGEN TOUAREG III,VOLKSWAGEN,3.0 V6 286 R-LINE,2019,69 849 km,Automatique,Diesel,58 480 €
12,VOLKSWAGEN TIGUAN II phase 2,VOLKSWAGEN,2.0 TDI 150 LIFE,2022,95 091 km,Automatique,Diesel,31 050 €
13,VOLKSWAGEN GOLF 7,VOLKSWAGEN,VII 1.5 TGI 130 CV DSG COMFORTLINE 5 PORTES,2020,29 762 km,Automatique,Bicarburation essence / gpl,25 620 €
14,VOLKSWAGEN TIGUAN 2 ALLSPACE,VOLKSWAGEN,2.0 TDI 150 CONFORTLINE,2021,33 426 km,Manuelle,Diesel,40 240 €
15,VOLKSWAGEN GOLF VII phase 2,VOLKSWAGEN,1.5 TSI 130 CONNECT,2020,64 692 km,Automatique,Essence,22 110 €
16,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TSI 180 CARAT EXCLUSIVE,2018,83 044 km,Automatique,Essence,35 010 €
0,VOLKSWAGEN T-ROC,VOLKSWAGEN,1.0 TSI 115 LOUNGE,2019,26 773 km,Manuelle,Essence,21 710 €
1,VOLKSWAGEN TIGUAN II,VOLKSWAGEN,2.0 TDI 150 CARAT,2018,89 043 km,Automatique,Diesel,29 830 €
