,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
14,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 476 AMG,2017,96 600 km,Automatique,Essence,44 080 €
15,MERCEDES CLASSE A IV,MERCEDES,2.0 250 224 AMG LINE,2019,91 690 km,Automatique,Essence,30 720 €
16,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,2.0 220 D 190 AMG LINE,2020,87 860 km,Automatique,Diesel,36 830 €
0,MERCEDES CLASSE E V BREAK phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2023,24 581 km,Automatique,Diesel,50 860 €
1,MERCEDES GLA phase 2,MERCEDES,2.1 200 D 136 FASCINATION,2018,125 350 km,Automatique,Diesel,25 050 €
2,MERCEDES CLASSE B II phase 2,MERCEDES,1.6 180 122 SENSATION,2019,90 718 km,Automatique,Essence,19 410 €
3,MERCEDES CLASSE E V BREAK,MERCEDES,2.0 220 D 194,2018,197 220 km,Automatique,Diesel,29 620 €
4,MERCEDES GLC AMG,MERCEDES,3.0 43 367 AMG,2018,190 638 km,Automatique,Essence,46 390 €
5,MERCEDES CLASSE C IV SW phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2022,49 511 km,Automatique,Diesel,54 480 €
6,MERCEDES CLASSE C 4 SW,MERCEDES,BREAK 200 D 9G-TRONIC AMG LINE SW,2022,33 184 km,Automatique,Diesel,41 390 €
7,MERCEDES CLASSE C IV AMG,MERCEDES,3.0 450 367 AMG,2017,79 220 km,Automatique,Essence,51 940 €
8,MERCEDES CITAN,MERCEDES,1.5 109 90 PRO,2018,119 922 km,Manuelle,Diesel,18 850 €
9,MERCEDES CLASSE V II LONG,MERCEDES,2.1 250 D 204 EXECUTIVE,2017,168 516 km,Automatique,Diesel,53 190 €
10,MERCEDES CLASSE A IV phase 2,MERCEDES,1.3 250 218 AMG LINE,2021,50 714 km,Automatique,Hybrides,37 720 €
11,MERCEDES CLASSE C IV SW,MERCEDES,1.6 180 D 122 AVANTGARDE LINE,2020,88 944 km,Automatique,Diesel,27 140 €
12,MERCEDES CLASSE B phase 2,MERCEDES,2.0 180 CDI 109 DESIGN,2011,163 602 km,Manuelle,Diesel,10 960 €
13,MERCEDES VITO III phase 2,MERCEDES,2.0 119 190 PRO,2022,17 914 km,Automatique,Diesel,62 420 €
14,MERCEDES GLA AMG phase 2,MERCEDES,2.0 45 381 AMG,2020,60 452 km,Automatique,Essence,51 900 €
15,MERCEDES GLC phase 2,MERCEDES,2.0 300 320 AMG LINE,2023,5 940 km,Automatique,Hybrides,74 830 €
16,MERCEDES CLASSE E V BREAK,MERCEDES,2.0 220 D 194 AVANTGARDE LINE,2018,144 383 km,Automatique,Diesel,29 880 €
0,MERCEDES CLA II AMG,MERCEDES,2.0 45 421,2023,16 605 km,Automatique,Essence,86 080 €
1,MERCEDES GLC,MERCEDES,2.0 211 SPORTLINE,2019,29 084 km,Automatique,Essence,53 660 €
2,MERCEDES CLASSE C IV CABRIOLET phase 2,MERCEDES,3.0 43 390 AMG,2020,51 049 km,Automatique,Essence,71 020 €
3,MERCEDES CLA SHOOTING BRAKE phase 2,MERCEDES,2.0 250 211 FASCINATION,2019,95 038 km,Automatique,Essence,37 690 €
4,MERCEDES CLASSE V II LONG,MERCEDES,2.1 250 D 190 BUSINESS,2018,79 658 km,Automatique,Diesel,72 530 €
5,MERCEDES GLE II,MERCEDES,2.0 350 197 AMG LINE,2022,19 089 km,Automatique,,89 760 €
6,MERCEDES CLASSE B II,MERCEDES,1.8 180 CDI 109 FASCINATION,2013,128 706 km,Automatique,Diesel,23 110 €
7,MERCEDES CLA II SHOOTING BRAKE AMG,MERCEDES,2.0 45 421,2020,65 312 km,Automatique,Essence,66 670 €
8,MERCEDES GLE II AMG,MERCEDES,4.0 63 612,2021,58 684 km,Automatique,Essence,193 580 €
9,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 35 306 AMG,2020,75 980 km,Automatique,Essence,50 920 €
10,MERCEDES CLASSE V II LONG phase 2,MERCEDES,2.0 250 D 190 EXCLUSIVE,2019,40 680 km,Automatique,Diesel,62 130 €
11,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 AMG LINE,2021,53 027 km,Automatique,Diesel,29 660 €
12,MERCEDES CITAN 2,MERCEDES,TOURER CDI 110 LONG 5 PLACES GPS,2022,17 331 km,Manuelle,Diesel,35 290 €
13,MERCEDES GLA,MERCEDES,2.1 220 170 FASCINATION,2015,228 795 km,Automatique,Diesel,18 270 €
14,MERCEDES CLASSE C IV COUPE AMG phase 2,MERCEDES,4.0 63 510 AMG S,2019,61 050 km,Automatique,Essence,93 120 €
15,MERCEDES CLASSE C V,MERCEDES,2.0 220 D 200 AMG LINE,2023,22 789 km,Automatique,Diesel,55 840 €
16,MERCEDES CLASSE B II phase 2,MERCEDES,2.1 220 D 170 FASCINATION,2018,138 397 km,Automatique,Diesel,26 160 €
0,MERCEDES CLA II,MERCEDES,1.3 200 163 AMG LINE,2023,24 168 km,Automatique,Essence,38 670 €
1,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 AMG LINE,2020,103 683 km,Automatique,Diesel,27 710 €
2,MERCEDES GLC,MERCEDES,2.0 250 211 EXECUTIVE,2017,78 398 km,Automatique,Essence,40 260 €
3,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2021,76 325 km,Automatique,Diesel,60 820 €
4,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 300 194 AMG LINE,2022,143 440 km,Automatique,,53 480 €
5,MERCEDES CLA II,MERCEDES,1.3 200 163 AMG LINE,2020,81 092 km,Automatique,Essence,38 380 €
6,MERCEDES GLB,MERCEDES,2.0 250 224 AMG LINE LAUNCH EDITION,2021,28 453 km,Automatique,Essence,57 000 €
7,MERCEDES CLASSE G 4 AMG,MERCEDES,63 AMG 585 CV SPEEDSHIFT PLUS 9G-TRONIC,2020,24 233 km,Automatique,Essence,203 240 €
8,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,2.0 250 224 AMG LINE,2020,46 970 km,Automatique,Essence,38 480 €
9,MERCEDES CLASSE CLS III,MERCEDES,2.9 400 D 340 AMG LINE+,2020,101 677 km,Automatique,Diesel,59 660 €
10,MERCEDES CLASSE A IV,MERCEDES,1.3 200 163 AMG LINE,2019,81 536 km,Automatique,Essence,33 560 €
11,MERCEDES CLASSE C IV SW phase 2,MERCEDES,1.5 200 184 AMG LINE,2020,55 833 km,Automatique,Essence,35 500 €
12,MERCEDES CLASSE C 4 SW,MERCEDES,IV (2) SW 200D 160 BUSINESS LINE,2020,46 418 km,Automatique,Diesel,31 340 €
13,MERCEDES CLASSE C IV COUPE,MERCEDES,1.6 180 156 EXECUTIVE,2017,110 238 km,Automatique,Essence,29 600 €
14,MERCEDES CLASSE B II,MERCEDES,1.8 200 CDI 136 FASCINATION,2015,140 251 km,Automatique,Diesel,18 020 €
15,MERCEDES GLE II,MERCEDES,2.0 300 D 245 AMG LINE,2020,128 620 km,Automatique,Diesel,67 140 €
16,MERCEDES CLASSE CLS III,MERCEDES,2.9 350 D 286 LAUNCH EDITION,2019,110 768 km,Automatique,Diesel,55 880 €
0,MERCEDES CLASSE C V SW,MERCEDES,2.0 200 D 163 AMG LINE,2023,25 630 km,Automatique,Diesel,51 680 €
1,MERCEDES CLASSE C IV CABRIOLET,MERCEDES,2.1 250 D 204 SPORTLINE,2019,85 800 km,Automatique,Diesel,45 480 €
2,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 AMG LINE,2021,55 389 km,Automatique,Diesel,32 630 €
3,MERCEDES CLASSE A III phase 2,MERCEDES,2.1 220 D 177 FASCINATION,2015,156 613 km,Automatique,Diesel,24 380 €
4,MERCEDES CLASSE E IV phase 2,MERCEDES,2.1 220 170 FASCINATION,2016,176 900 km,Automatique,Diesel,26 710 €
5,MERCEDES CLASSE C IV COUPE phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2020,65 890 km,Automatique,Diesel,42 790 €
6,MERCEDES SL II AMG phase 3,MERCEDES,6.2 63 525 AMG,2010,58 266 km,Automatique,Essence,70 180 €
7,MERCEDES GLA 2,MERCEDES,200 7G-DCT AMG LINE,2023,13 901 km,Automatique,Essence,46 190 €
8,MERCEDES GLC,MERCEDES,2.1 220 D 170 FASCINATION,2019,86 730 km,Automatique,Diesel,44 720 €
9,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 35 306 AMG,2022,54 738 km,Automatique,Essence,60 290 €
10,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2021,96 985 km,Automatique,Diesel,58 170 €
11,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 476 AMG,2017,97 520 km,Automatique,Essence,44 500 €
12,MERCEDES SLK,MERCEDES,2.3 230 197,2000,168 360 km,Automatique,Essence,12 190 €
13,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 PROGRESSIVE LINE,2021,26 629 km,Automatique,Hybrides,34 390 €
14,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 BUSINESS LINE,2021,78 287 km,Automatique,Hybrides,34 490 €
15,MERCEDES GLE COUPE II,MERCEDES,2.0 350 320 AMG LINE,2023,17 920 km,Automatique,,106 270 €
16,MERCEDES GLB,MERCEDES,2.0 200 D 150 AMG LINE,2023,39 626 km,Automatique,Diesel,57 080 €
0,MERCEDES CLASSE E V BREAK phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2023,24 581 km,Automatique,Diesel,50 860 €
1,MERCEDES GLC COUPE II phase 2,MERCEDES,2.0 300 333 AMG LINE,2023,22 320 km,Automatique,,84 190 €
2,MERCEDES GLC,MERCEDES,2.1 250 D 204 FASCINATION,2019,140 656 km,Automatique,Diesel,41 870 €
3,MERCEDES GLC COUPE,MERCEDES,3.0 350 D 258 FASCINATION,2018,131 561 km,Automatique,Diesel,44 780 €
4,MERCEDES GLC,MERCEDES,2.1 220 D 170 BUSINESS EXECUTIVE,2020,90 893 km,Automatique,Diesel,42 460 €
5,MERCEDES CLASSE A II phase 2,MERCEDES,1.7 180 116 AVANTGARDE,2012,138 000 km,Manuelle,Essence,11 490 €
6,MERCEDES CLASSE C IV COUPE AMG phase 2,MERCEDES,4.0 63 510 AMG S,2020,53 750 km,Automatique,Essence,113 000 €
7,MERCEDES CLASSE A II phase 2,MERCEDES,1.5 150 95 SPORT,2010,101 200 km,Automatique,Essence,11 490 €
8,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 AMG LINE,2019,22 299 km,Automatique,Diesel,31 300 €
9,MERCEDES CLASSE C III,MERCEDES,1.8 200 184 ELEGANCE,2009,118 580 km,Automatique,Essence,16 320 €
10,MERCEDES CLASSE A III AMG,MERCEDES,2.0 45 360 AMG,2015,93 790 km,Automatique,Essence,37 170 €
11,MERCEDES CLASSE C IV CABRIOLET,MERCEDES,2.0 250 211 FASCINATION,2018,42 877 km,Automatique,Essence,46 850 €
12,MERCEDES GLC phase 2,MERCEDES,2.0 300 D 245 AMG LINE,2023,60 512 km,Automatique,Diesel,68 060 €
13,MERCEDES CLASSE C IV phase 2,MERCEDES,2.0 300 320 AMG LINE,2020,95 624 km,Automatique,Hybrides,47 480 €
14,MERCEDES GLC phase 2,MERCEDES,2.0 220 D 194 AMG LINE LAUNCH EDITION,2020,118 335 km,Automatique,Diesel,48 180 €
15,MERCEDES CLASSE C IV AMG,MERCEDES,4.0 63 510 AMG S,2017,80 600 km,Automatique,Essence,74 380 €
16,MERCEDES GLC phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2022,57 959 km,Automatique,Diesel,56 740 €
0,MERCEDES CLA II AMG,MERCEDES,2.0 45 421,2023,16 605 km,Automatique,Essence,86 080 €
1,MERCEDES CLASSE S VII COUPE AMG,MERCEDES,5.5 63 585 AMG,2016,144 421 km,Automatique,Essence,83 980 €
2,MERCEDES GLB,MERCEDES,2.0 200 D 150 AMG LINE,2021,49 332 km,Automatique,Diesel,46 750 €
